Area Code (M49),Area,Element,Item Code (CPC),Item,Year,Unit,Value,Flag,Flag Description
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2000,USD,1767.2,X,Figure from international organizations
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2001,USD,1165.6,X,Figure from international organizations
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2002,USD,1255.0,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2003,USD,1524.6,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2004,USD,1554.2,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2005,USD,1364.7,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2006,USD,1500.4,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2007,USD,1521.1,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2008,USD,2093.4,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2009,USD,2263.0,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2010,USD,1766.5,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2011,USD,2160.7,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2012,USD,2231.2,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2013,USD,2194.8,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2014,USD,2337.3,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2015,USD,1787.6,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2016,USD,1644.7,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2017,USD,1802.2,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2018,USD,1543.8,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2019,USD,1508.1,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2020,USD,1577.6,A,Official figure
12,Algeria,Producer Price (USD/tonne),0231,"Hen eggs in shell, fresh",2021,USD,1594.0,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2002,USD,1719.3,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2003,USD,2222.4,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2004,USD,2206.5,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2005,USD,2483.7,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2006,USD,2491.5,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2007,USD,2742.0,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2008,USD,3360.0,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2009,USD,3262.3,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2010,USD,2769.3,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2011,USD,3249.3,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2012,USD,3624.1,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2013,USD,3137.3,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2014,USD,3102.5,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2015,USD,2631.8,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2016,USD,2339.1,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2017,USD,2180.7,A,Official figure
12,Algeria,Producer Price (USD/tonne),21121,"Meat of chickens, fresh or chilled",2018,USD,2453.0,A,Official figure
